date,diesel,eurosuper,super_plus,heating_oil_bulk,heating_oil_station
2026-09-21,2.238,1.925,2.161,1.885,2.011
2026-09-14,2.197,1.894,2.132,1.804,1.854
2026-09-07,2.126,1.912,2.149,1.711,1.824
2026-08-31,1.993,1.784,2.047,1.607,1.794
2026-08-24,2.05,1.784,2.041,1.634,1.794
2026-08-17,2.043,1.795,2.031,1.601,1.794
2026-08-10,1.965,1.721,1.96,1.543,1.794
2026-08-03,2.05,1.838,2.089,1.616,1.794
2026-07-27,2.051,1.874,2.114,1.594,1.794
2026-07-20,1.931,1.833,2.074,1.538,1.674
2026-07-13,1.84,1.762,2,1.411,1.674
2026-07-06,1.73,1.686,1.921,1.307,1.624
2026-06-29,1.711,1.649,1.889,1.271,1.674
2026-06-22,1.724,1.65,1.886,1.315,1.704
2026-06-15,1.82,1.726,1.962,1.39,1.774
2026-06-08,1.831,1.726,1.961,1.449,1.774
2026-06-01,1.83,1.735,1.998,1.442,1.824
2026-05-25,1.906,1.809,2.068,1.511,1.824
2026-05-18,1.914,1.813,2.083,1.543,1.824
2026-05-11,1.913,1.796,2.078,1.561,1.824
2026-05-04,1.999,1.793,2.081,1.654,1.824
2026-04-27,1.91,1.712,1.994,1.632,1.824
2026-04-20,1.948,1.691,1.979,1.669,1.824
2026-04-13,2.075,1.718,1.994,1.765,1.824
2026-04-06,2.228,1.787,2.039,1.836,1.824
2026-03-30,2.204,1.879,2.113,1.749,1.849
2026-03-23,2.109,1.841,2.08,1.738,1.799
2026-03-16,1.954,1.743,1.979,1.618,1.734
2026-03-09,1.898,1.708,1.96,1.625,1.389
2026-03-02,1.564,1.515,1.759,1.204,1.389
2026-02-23,1.546,1.509,1.751,1.099,1.389
2026-02-16,1.518,1.478,1.723,1.069,1.389
2026-02-09,1.529,1.485,1.73,1.078,1.389
2026-02-02,1.52,1.482,1.729,1.086,1.389
2026-01-26,1.509,1.48,1.725,1.06,1.389
2026-01-19,1.487,1.455,1.699,1.053,1.389
2026-01-12,1.477,1.453,1.699,1.049,1.389
2026-01-05,1.495,1.47,1.719,1.054,1.389
